Point_X,Point_Y,Tree_Name,Tree_Id,Genus,Species,Common_Name,Diameter,Tree__Height,ZONE_GEN,PageName,Status
-78.8961415,36.0053982,O21-QUBI-001,2304918,Quercus,bicolor,Swamp white oak,2,0-20,RES_MEDIUM_DENSITY,O21,phys
-78.89964587,36.0054076,O21-QUBI-002,2304958,Quercus,bicolor,Swamp white oak,3,0-20,RES_HIGH_DENSITY,O21,phys
-78.89549444,36.00538791,O21-QUBI-003,2974893,Quercus,bicolor,Swamp white oak,1,0-20,RES_MEDIUM_DENSITY,O21,replace
-78.8964057,36.00540254,O21-QUPH-001,2248928,Quercus,phellos,Willow oak,33,60-80,RES_MEDIUM_DENSITY,O21,done
-78.90136778,36.00985811,O21-QUPH-002,2249235,Quercus,phellos,Willow oak,31,40-60,RES_HIGH_DENSITY,O21,done
-78.90027702,36.00992174,O21-QUPH-003,2249384,Quercus,phellos,Willow oak,30,60-80,RES_HIGH_DENSITY,O21,done
-78.90157253,36.0098542,O21-QUPH-004,2249658,Quercus,phellos,Willow oak,35,40-60,RES_HIGH_DENSITY,O21,done
-78.89776155,36.00540797,O21-QUPH-005,2250184,Quercus,phellos,Willow oak,43,60-80,RES_MEDIUM_DENSITY,O21,done
-78.89896754,36.01014505,O21-QUPH-006,2250428,Quercus,phellos,Willow oak,29,80+,RES_HIGH_DENSITY,O21,done
-78.89147982,36.01063594,O22-QUPH-007,2250088,Quercus,phellos,Willow oak,25,60-80,RES_MEDIUM_DENSITY,O22,done
-78.88499347,36.00950734,O22-QUPH-008,2907981,Quercus,phellos,Willow oak,34,80+,RES_HIGH_DENSITY,O22,done
-78.88503087,36.00937476,O22-QUPH-009,2907986,Quercus,phellos,Willow oak,41,80+,RES_HIGH_DENSITY,O22,done
-78.92670125,35.99794783,P18-QULY-001,2853242,Quercus,lyrata,Overcup oak,2,0-20,RES_LOW_DENSITY,P18,phys
-78.92522603,35.9973858,P18-QUBI-001,2853235,Quercus,bicolor,Swamp white oak,2,0-20,RES_LOW_DENSITY,P18,phys
-78.93088281,35.99615104,P18-QUPH-001,2252327,Quercus,phellos,Willow oak,18,20-40,RES_LOW_DENSITY,P18,done
-78.91932651,35.99660133,P19-QUPH-001,2249478,Quercus,phellos,Willow oak,35,60-80,RES_HIGH_DENSITY,P19,done
-78.91942576,35.99674998,P19-QUPH-002,2249802,Quercus,phellos,Willow oak,48,80+,RES_HIGH_DENSITY,P19,done
-78.92043158,35.99675757,P19-QUPH-003,2249825,Quercus,phellos,Willow oak,49,60-80,RES_HIGH_DENSITY,P19,done
-78.91880214,35.99674781,P19-QUPH-004,2249846,Quercus,phellos,Willow oak,50,80+,RES_HIGH_DENSITY,P19,done
